90 000 $,2 кімнати,1 800 $ за м²,25 з 26,*** not found,<span>25 серпня 2020 р.</span>,50 / 20 / 14 м²,вул. Маланюка (Степана Сагайдака),25 серпня 2020 р.
125 000 $,2 кімнати,2 778 $ за м²,6 з 9,рік будівництва1965,цегляний будинок,45 м²,Виноградний пров., 6,11 лютого
155 000 $,3 кімнати,1 325 $ за м²,5 з 22,рік будівництва2009,монолітно-каркасний,117 / 72 / 18 м²,вул. Білоруська, 3,27 січня
40 900 $,1 кімната,1 515 $ за м²,2 з 9,рік будівництва1981,панельні,27 / 17 / 6 м²,вул. Північна, 48,28 лютого
149 500 $,3 кімнати,1 438 $ за м²,11 з 16,рік будівництва2002,монолітно-каркасний,104 / 56 / 14 м²,вул. Сім’ї Прахових (Гайдара), 27,24 вересня 2020 р.
54 000 $,1 кімната,982 $ за м²,23 з 25,*** not found,<span>26 грудня 2020 р.</span>,55 / 18 / 18 м²,Балтійський пров.,26 грудня 2020 р.
142 000 $,3 кімнати,1 495 $ за м²,25 з 25,*** not found,*** not found,95 / 64 / 15 м²,вул. Багговутівська,10 лютого
240 000 $,3 кімнати,1 714 $ за м²,7 з 16,рік будівництва2010,монолітно-каркасний,140 м²,Дніпровська наб., 26д,21 березня 2020 р.
250 000 $,4 кімнати,1 590 $ за м²,20 з 26,рік будівництва2005,монолітно-каркасний,157.2 / 90 / 19 м²,вул. Коновальця (Щорса), 32г,2 березня 2020 р.
4 014 993 грн,2 кімнати,46 202 грн за м²,20 з 26,рік будівництва1969,цегляний будинок,86.9 / 37.57 / 21.59 м²,вул. Бойчука (Кіквідзе), 41,13 лютого
106 000 $,1 кімната,2 163 $ за м²,16 з 24,рік будівництва2007,монолітно-каркасний,49 / 23 / 14 м²,просп. Героїв Сталінграда, 8а,16 вересня 2020 р.
70 000 $,2 кімнати,1 207 $ за м²,10 з 16,рік будівництва1981,монолітно-каркасний,58 / 35 / 10 м²,пл. Оболонська (Дружби Народів), 2,сьогодні о 00:10
95 000 $,1 кімната,2 262 $ за м²,10 з 26,рік будівництва2019,монолітно-каркасний,42 / 15.5 / 21.6 м²,вул. Осокорська, 2а,22 травня 2020 р.
122 000 $,2 кімнати,1 506 $ за м²,3 з 16,рік будівництва2017,монолітно-каркасний,81 / 39 / 24 м²,вул. Деміївська, 13,27 січня
85 000 $,2 кімнати,1 000 $ за м²,20 з 25,рік будівництва2019,монолітно-каркасний,85 / 33 / 24 м²,вул. Ревуцького, 40в,1 листопада 2020 р.
68 000 $,3 кімнати,883 $ за м²,26 з 27,рік будівництва2019,панельні,77 / 45 / 9 м²,вул. Вишняківська, 4,14 січня
71 224 $,1 кімната,1 574 $ за м²,7 з 17,*** not found,*** not found,45.24 / 17 / 18 м²,вул. Маланюка (Степана Сагайдака),13 лютого 2020 р.
66 000 $,1 кімната,1 692 $ за м²,2 з 5,рік будівництва1958,цегляний будинок,39 / 19 / 8 м²,вул. Арсенальна, 15,28 січня
43 000 $,1 кімната,1 049 $ за м²,11 з 25,рік будівництва2020,*** not found,41 / 18 / 9 м²,бульв. Гавела (Івана Лєпсе),26 серпня 2020 р.
180 000 $,3 кімнати,1 714 $ за м²,19 з 24,*** not found,*** not found,105 / 52 / 20 м²,вул. Звіринецька,5 лютого 2020 р.
60 000 $,2 кімнати,896 $ за м²,10 з 25,*** not found,*** not found,67 / - / 11 м²,вул. Бережанська,29 січня
60 000 $,3 кімнати,826 $ за м²,16 з 16,рік будівництва1980,утеплена панель,72.6 / 42.4 / 9 м²,вул. Лятошинського, 18,6 грудня 2020 р.
350 000 $,3 кімнати,2 333 $ за м²,5 з 14,рік будівництва2009,монолітно-каркасний,150 / 91.5 / 19 м²,вул. Звіринецька, 59,10 січня 2019 р.
130 000 $,3 кімнати,1 128 $ за м²,5 з 9,*** not found,<span>29 січня</span>,115.29 / - / 41.58 м²,просп. Бажана,29 січня
